,COD_ID
0,1501550
1,1501795
2,1502272
3,1503681
4,1503694
5,1504619
6,1504631
7,1505004
8,1505100
9,1505275
10,1505453
11,1505617
12,1506375
13,1506736
14,1507528
15,1508230
16,1508235
17,1512079
18,1513247
19,1513586
20,1513955
21,1514188
22,1514271
23,1514880
24,1515021
25,1515904
26,1516042
27,1519895
28,1520293
29,1520381
30,1543862
31,1544285
32,1545799
33,1546305
34,1546622
35,1547741
36,1549561
37,1550454
38,1552118
39,1552699
40,1553070
41,1553359
42,1553577
43,1553992
44,1554875
45,1555997
46,1557067
47,1557297
48,1558854
49,1558947
50,1559794
51,1560204
52,1564517
53,1564693
54,1565503
55,1566440
56,1566444
57,2000577
58,2000702
59,2001278
60,2001326
61,2001820
62,2004141
63,2004215
64,2004767
65,2005286
66,2006291
67,2007062
68,2008757
69,2009151
70,2009377
71,2009779
72,2010109
73,2011516
74,2011865
75,2013375
76,2013664
77,2014136
78,2014563
79,2015129
80,2016004
81,2016224
82,2016440
83,2017467
84,2018206
85,2018217
86,2019044
87,2019373
88,2020594
89,2021933
90,2022126
91,2100152
92,2100221
93,2100370
94,2100438
95,2101128
96,2103407
97,2103557
98,2104299
99,2104963
100,2105079
101,2105152
102,2105483
103,2105698
104,2105961
105,2105990
106,2107704
107,2107935
108,2108777
109,2200167
110,2201267
111,2201605
112,2201747
113,2202106
114,2202374
115,2202378
116,2202904
117,2202924
118,2204186
119,2204454
120,2204603
121,2204613
122,2204747
123,2204825
124,2205468
125,2206482
126,2206726
127,2207089
128,2207210
129,2207364
130,2208179
131,2208251
132,2208698
133,2209132
134,2209575
135,2210283
136,2210377
137,2210389
138,2210615
139,2211072
140,2212855
141,2213102
142,2213142
143,2213618
144,2214168
145,2214251
146,2214296
147,2214343
148,2215373
149,2215792
150,2215913
151,2215962
152,2216057
153,2216061
154,2216625
155,2217140
156,2217225
157,2217717
158,2217787
159,2218148
160,2218287
161,2218833
162,2218876
163,2219134
164,2219141
165,2219499
166,2219836
167,2220035
168,2220724
169,2221722
170,2222038
171,2222044
172,2222116
173,2222407
174,2222719
175,2222868
176,2222905
177,2222969
178,2223368
179,2223409
180,2223525
181,2223637
182,2223710
183,2223757
184,2223915
185,2224206
186,2224247
187,2224922
188,2225814
189,2225830
190,2226204
191,2226531
192,2226793
193,2226959
194,2227703
195,2227870
196,2227894
197,2230044
198,2230791
199,2231480
200,2231941
201,2232618
202,2232851
203,2233180
204,2233204
205,2233320
206,2233702
207,2233885
208,2235339
209,2235922
210,2236139
211,2236156
212,2237239
213,2237308
214,2237490
215,2238264
216,2239128
217,2239983
218,2240828
219,2240911
220,2241220
221,2241915
222,2242181
223,2242294
224,2242727
225,2243131
226,2243727
227,2300437
228,2310843
229,2311198
230,2311455
231,2311897
232,3500094
233,4003377
234,4020288
235,4021047
236,4021197
237,4021940
238,4022498
239,4022657
